"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
31,78,"FIN","Finland",4,"Southern Finland",8,"Eastern Uusimaa",31,"Porvoo","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
32,78,"FIN","Finland",4,"Southern Finland",9,"Kymenlaakso",32,"Kotka-Hamina","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
33,78,"FIN","Finland",4,"Southern Finland",9,"Kymenlaakso",33,"Kouvola","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
34,78,"FIN","Finland",4,"Southern Finland",10,"Päijänne Tavastia",34,"Lahti","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
35,78,"FIN","Finland",4,"Southern Finland",11,"South Karelia",35,"Imatra","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
36,78,"FIN","Finland",4,"Southern Finland",11,"South Karelia",36,"Lappeenranta","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
37,78,"FIN","Finland",4,"Southern Finland",11,"South Karelia",37,"Western Saimaa","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
38,78,"FIN","Finland",4,"Southern Finland",12,"Uusimaa",38,"Ekenäs","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
39,78,"FIN","Finland",4,"Southern Finland",12,"Uusimaa",39,"Helsinki","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
40,78,"FIN","Finland",4,"Southern Finland",12,"Uusimaa",40,"Lohja","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
41,78,"FIN","Finland",5,"Western Finland",13,"Central Finland",41,"Äänekoski","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
42,78,"FIN","Finland",5,"Western Finland",13,"Central Finland",42,"Jämsä","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
43,78,"FIN","Finland",5,"Western Finland",13,"Central Finland",43,"Jyväskylä","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
44,78,"FIN","Finland",5,"Western Finland",13,"Central Finland",44,"Keuruu","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
45,78,"FIN","Finland",5,"Western Finland",13,"Central Finland",45,"Saarijärvi","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
46,78,"FIN","Finland",5,"Western Finland",13,"Central Finland",46,"South Eastern Middle","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
47,78,"FIN","Finland",5,"Western Finland",13,"Central Finland",47,"Viitasaari","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
48,78,"FIN","Finland",5,"Western Finland",14,"Central Ostrobothnia",48,"Kaustinen","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
49,78,"FIN","Finland",5,"Western Finland",14,"Central Ostrobothnia",49,"Kokkola","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
50,78,"FIN","Finland",5,"Western Finland",15,"Finland Proper",50,"Åboland-Turunmaa","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
51,78,"FIN","Finland",5,"Western Finland",15,"Finland Proper",51,"Loimaa","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
52,78,"FIN","Finland",5,"Western Finland",15,"Finland Proper",52,"Salo","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
53,78,"FIN","Finland",5,"Western Finland",15,"Finland Proper",53,"Turku","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
54,78,"FIN","Finland",5,"Western Finland",15,"Finland Proper",54,"Vakka-Suomi","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
55,78,"FIN","Finland",5,"Western Finland",16,"Ostrobothnia",55,"Jakobstadsregionen","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
56,78,"FIN","Finland",5,"Western Finland",16,"Ostrobothnia",56,"Kyrönmaa","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
57,78,"FIN","Finland",5,"Western Finland",16,"Ostrobothnia",57,"South Eastern Bothnia","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
58,78,"FIN","Finland",5,"Western Finland",16,"Ostrobothnia",58,"Vaasa","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
59,78,"FIN","Finland",5,"Western Finland",17,"Päijänne Tavastia",59,"Lahti","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
60,78,"FIN","Finland",5,"Western Finland",18,"Pirkanmaa",60,"Jämsä","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
61,78,"FIN","Finland",5,"Western Finland",18,"Pirkanmaa",61,"North Western Pirkanm","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
62,78,"FIN","Finland",5,"Western Finland",18,"Pirkanmaa",62,"South Eastern Pirkanm","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
63,78,"FIN","Finland",5,"Western Finland",18,"Pirkanmaa",63,"South Western Pirkanm","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
64,78,"FIN","Finland",5,"Western Finland",18,"Pirkanmaa",64,"Southern Pirkanmaa","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
65,78,"FIN","Finland",5,"Western Finland",18,"Pirkanmaa",65,"Tampere","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
66,78,"FIN","Finland",5,"Western Finland",18,"Pirkanmaa",66,"Upper Pirkanmaa","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
67,78,"FIN","Finland",5,"Western Finland",19,"Satakunta",67,"Northern Satakunta","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
68,78,"FIN","Finland",5,"Western Finland",19,"Satakunta",68,"Pori","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
69,78,"FIN","Finland",5,"Western Finland",19,"Satakunta",69,"Rauma","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
70,78,"FIN","Finland",5,"Western Finland",19,"Satakunta",70,"South Eastern Satakun","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
71,78,"FIN","Finland",5,"Western Finland",20,"Southern Ostrobothnia",71,"Härmänmaa","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
72,78,"FIN","Finland",5,"Western Finland",20,"Southern Ostrobothnia",72,"Järviseutu","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
73,78,"FIN","Finland",5,"Western Finland",20,"Southern Ostrobothnia",73,"Kuusiokunnat","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
74,78,"FIN","Finland",5,"Western Finland",20,"Southern Ostrobothnia",74,"Northern Seinänaapuri","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
75,78,"FIN","Finland",5,"Western Finland",20,"Southern Ostrobothnia",75,"South Eastern Bothnia","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
76,78,"FIN","Finland",5,"Western Finland",20,"Southern Ostrobothnia",76,"Southern Seinänaapuri","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
77,78,"FIN","Finland",5,"Western Finland",21,"Tavastia Proper",77,"Forssa","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
78,78,"FIN","Finland",5,"Western Finland",21,"Tavastia Proper",78,"Hämeenlinna","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
79,78,"FIN","Finland",5,"Western Finland",21,"Tavastia Proper",79,"Lahti","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
80,78,"FIN","Finland",5,"Western Finland",21,"Tavastia Proper",80,"Riihimäki","Seutukunta|Ekonomisk region","Sub-Region",NA,NA
